"Domain","Username","TenantId","SubStatus","SubAction","LicenseAssigned","Error"
"otuwacne104131.onmicrosoft.com","odl_user_2227193@otuwacne104131.onmicrosoft.com","a6dc2572-7b77-42a2-9b4e-57ec5bd268d7","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104132.onmicrosoft.com","odl_user_2227194@otuwacne104132.onmicrosoft.com","8fe2827d-8b2b-4c93-bce5-a1551a1bd1dc","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104133.onmicrosoft.com","odl_user_2227195@otuwacne104133.onmicrosoft.com","e4a1f9f2-7af3-4974-98ab-9e83d5600a3a","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104134.onmicrosoft.com","odl_user_2227196@otuwacne104134.onmicrosoft.com","89f4f531-14b0-4cdd-83a7-310930a58532","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104135.onmicrosoft.com","odl_user_2227197@otuwacne104135.onmicrosoft.com","f84f45de-6be6-47cc-a149-5258f35d9cad","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne104136.onmicrosoft.com","odl_user_2227198@otuwacne104136.onmicrosoft.com","a8fc8585-f687-4d5f-ab86-984f726c4246","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104137.onmicrosoft.com","odl_user_2227199@otuwacne104137.onmicrosoft.com","5d13bb55-7cdc-4d58-827e-848a95692451","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104138.onmicrosoft.com","odl_user_2227200@otuwacne104138.onmicrosoft.com","862d9112-26a5-4649-9c63-31d9e5ad48e5","Missing/Deleted","Purchased (Monthly)","No","No E5 SKU available in tenant yet"
"otuwacne104139.onmicrosoft.com","odl_user_2227201@otuwacne104139.onmicrosoft.com","942474ec-6b2f-48af-8956-813e59a0fbac","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104140.onmicrosoft.com","odl_user_2227202@otuwacne104140.onmicrosoft.com","509053f4-22dc-4dde-b965-5d669e8a1824","Already Active","None","Already assigned",""
"otuwacne104041.onmicrosoft.com","odl_user_2227510@otuwacne104041.onmicrosoft.com","79d1038c-f27a-4d93-bf0e-ee4d2fdae62b","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104042.onmicrosoft.com","odl_user_2227511@otuwacne104042.onmicrosoft.com","d540b97b-ec12-4f42-bef5-79470a319815","Missing/Deleted","Purchased (Monthly)","Already assigned",""
"otuwacne104043.onmicrosoft.com","odl_user_2227512@otuwacne104043.onmicrosoft.com","63dac623-08bb-451c-a622-347b19fa3253","Missing/Deleted","Purchased (Monthly)","Already assigned",""
